place_id	country	region_code	region_name	name	city	postal_code	lat	lng	dwell_seconds	geofence_meters	tags
ae-az-sheikhzayed	AE	AE-AZ	Abu Dhabi	Sheikh Zayed Grand Mosque	Abu Dhabi		24.4128	54.475	5400	2000	mosque
ae-du-burjkhalifa	AE	AE-DU	Dubai	Burj Khalifa	Dubai		25.1972	55.2744	5400	2000	tower|icon
ar-b-recoleta	AR	AR-B	Buenos Aires	Recoleta Cemetery	Buenos Aires		-34.5875	-58.3936	5400	2000	cemetery
ar-z-perito	AR	AR-Z	Santa Cruz	Perito Moreno Glacier	El Calafate		-50.4967	-73.1377	9000	10000	glacier|unesco
at-5-hallstatt	AT	AT-5	Salzburg	Hallstatt	Hallstatt		47.5622	13.6493	7200	3000	village|unesco
at-9-schonbrunn	AT	AT-9	Vienna	Schönbrunn Palace	Vienna		48.1845	16.3122	7200	3000	palace|unesco
au-nsw-operahouse	AU	AU-NSW	New South Wales	Sydney Opera House	Sydney		-33.8568	151.2153	5400	2000	landmark|unesco
au-nt-uluru	AU	AU-NT	Northern Territory	Uluru	Yulara		-25.3444	131.0369	9000	15000	monolith|unesco
au-qld-greatbarrier	AU	AU-QLD	Queensland	Great Barrier Reef	Cairns		-16.2864	145.7781	14400	50000	reef|unesco
au-vic-greatocean	AU	AU-VIC	Victoria	Twelve Apostles	Port Campbell		-38.6662	143.1044	5400	5000	coast
be-bru-grandplace	BE	BE-BRU	Brussels	Grand-Place	Brussels		50.8467	4.3525	3600	2000	square|unesco
br-pr-iguacu	BR	BR-PR	Paraná	Iguaçu Falls	Foz do Iguaçu		-25.6953	-54.4367	10800	10000	falls|unesco
br-rj-christ	BR	BR-RJ	Rio de Janeiro	Christ the Redeemer	Rio de Janeiro		-22.9519	-43.2105	5400	3000	statue|icon
br-rj-sugarloaf	BR	BR-RJ	Rio de Janeiro	Sugarloaf Mountain	Rio de Janeiro		-22.9492	-43.1545	5400	3000	mountain
ca-ab-banff	CA	CA-AB	Alberta	Banff National Park	Banff		51.4968	-115.9281	14400	30000	park|unesco
ca-bc-stanley	CA	CA-BC	British Columbia	Stanley Park	Vancouver		49.3017	-123.1417	7200	5000	park
ca-on-niagara	CA	CA-ON	Ontario	Niagara Falls	Niagara Falls		43.0896	-79.0849	5400	3000	falls
ca-qc-oldquebec	CA	CA-QC	Quebec	Old Québec	Québec City		46.8123	-71.2145	7200	3000	district|unesco
ch-be-jungfrau	CH	CH-BE	Bern	Jungfraujoch	Lauterbrunnen		46.5474	7.9808	9000	8000	mountain|unesco
ch-vs-matterhorn	CH	CH-VS	Valais	Matterhorn	Zermatt		45.9763	7.6586	9000	10000	mountain|icon
cl-an-atacama	CL	CL-AN	Antofagasta	Atacama Desert	San Pedro de Atacama		-22.9087	-68.1997	10800	30000	desert
cl-vs-easter	CL	CL-VS	Valparaíso	Rapa Nui (Easter Island)	Hanga Roa		-27.1127	-109.3497	14400	15000	statues|unesco
cn-bj-forbidden	CN	CN-BJ	Beijing	Forbidden City	Beijing		39.9163	116.3972	9000	2000	palace|unesco
cn-bj-greatwall	CN	CN-BJ	Beijing	Great Wall at Mutianyu	Beijing		40.4319	116.5704	10800	6000	wall|unesco
cn-hn-zhangjiajie	CN	CN-HN	Hunan	Zhangjiajie	Zhangjiajie		29.315	110.4344	14400	20000	landscape|unesco
cn-sn-terracotta	CN	CN-SN	Shaanxi	Terracotta Army	Xi'an		34.3841	109.2785	7200	3000	ruins|unesco
cz-pr-castle	CZ	CZ-PR	Prague	Prague Castle	Prague		50.091	14.4016	7200	2000	castle
cz-pr-charlesbridge	CZ	CZ-PR	Prague	Charles Bridge	Prague		50.0865	14.4114	3600	2000	bridge
de-be-brandenburg	DE	DE-BE	Berlin	Brandenburg Gate	Berlin		52.5163	13.3777	2700	2000	landmark
de-be-museumisland	DE	DE-BE	Berlin	Museum Island	Berlin		52.5169	13.4019	7200	2000	museum|unesco
de-by-neuschwanstein	DE	DE-BY	Bavaria	Neuschwanstein Castle	Schwangau		47.5576	10.7498	7200	3000	castle|icon
eg-asn-abusimbel	EG	EG-ASN	Aswan	Abu Simbel	Abu Simbel		22.3372	31.6258	7200	3000	temple|unesco
eg-gz-pyramids	EG	EG-GZ	Giza	Pyramids of Giza	Giza		29.9792	31.1342	9000	5000	ruins|unesco
eg-lx-karnak	EG	EG-LX	Luxor	Karnak Temple	Luxor		25.7188	32.6573	7200	3000	temple|unesco
es-an-alhambra	ES	ES-AN	Andalusia	Alhambra	Granada		37.1761	-3.5881	9000	3000	palace|unesco
es-an-mezquita	ES	ES-AN	Andalusia	Mosque-Cathedral of Córdoba	Córdoba		37.879	-4.7794	5400	2000	church|unesco
es-ct-parkguell	ES	ES-CT	Catalonia	Park Güell	Barcelona		41.4145	2.1527	5400	2000	park|unesco
es-ct-sagrada	ES	ES-CT	Catalonia	Sagrada Família	Barcelona		41.4036	2.1744	5400	2000	church|icon
es-md-prado	ES	ES-MD	Madrid	Museo del Prado	Madrid		40.4138	-3.6921	7200	2000	museum|art
fr-idf-eiffel	FR	FR-IDF	Île-de-France	Eiffel Tower	Paris		48.8584	2.2945	3600	2000	landmark|icon
fr-idf-louvre	FR	FR-IDF	Île-de-France	Louvre Museum	Paris		48.8606	2.3376	7200	2000	museum|art
fr-idf-versailles	FR	FR-IDF	Île-de-France	Palace of Versailles	Versailles		48.8049	2.1204	7200	3000	palace|unesco
fr-naq-lascaux	FR	FR-NAQ	Nouvelle-Aquitaine	Lascaux Caves	Montignac		45.0537	1.175	5400	3000	prehistoric|unesco
fr-nor-montsaintmichel	FR	FR-NOR	Normandy	Mont-Saint-Michel	Le Mont-Saint-Michel		48.6361	-1.5115	7200	3000	abbey|unesco
fr-pac-avignon	FR	FR-PAC	Provence-Alpes-Côte d'Azur	Palais des Papes	Avignon		43.9509	4.8076	5400	2000	palace|unesco
gb-eng-britishmuseum	GB	GB-ENG	England	British Museum	London		51.5194	-0.127	7200	2000	museum
